Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Gurgaon,2007 - 2008,0,0.000,0.00,0,0,0,0,3,27.030,"1,117.81",0,3,27.030,"1,117.81",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,167.75",0,0.000,"1,167.75",0,0.000,0.00,0,0,0,0,3,27.030,"1,167.75",0,3,27.030,"1,167.75",Total,0,0.000,0.00,0,0,0,0,16,141.405,"5,792.46",0,16,141.405,"5,792.46",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"3,388.21",0,0.000,"3,388.21",0,0.000,0.00,0,0,0,0,14,112.595,"3,388.21",0,14,112.595,"3,388.21",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Gurgaon,2008 - 2009,0,0.000,0.00,0,0,0,0,2,9.650,459.00,0,2,9.650,459.00,0.00,0,0.000,0.00,0,0,0,0,0,0.000,374.67,0,0.000,374.67,0,0.000,0.00,0,0,0,0,2,9.650,374.67,0,2,9.650,374.67,Total,0,0.000,0.00,0,0,0,0,16,141.405,"5,792.46",0,16,141.405,"5,792.46",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"3,388.21",0,0.000,"3,388.21",0,0.000,0.00,0,0,0,0,14,112.595,"3,388.21",0,14,112.595,"3,388.21",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Gurgaon,2013 - 2014,0,0.000,0.00,0,0,0,0,2,28.815,"2,409.80",0,2,28.815,"2,409.80",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,0,0.000,0.00,0,0,0,0,16,141.405,"5,792.46",0,16,141.405,"5,792.46",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"3,388.21",0,0.000,"3,388.21",0,0.000,0.00,0,0,0,0,14,112.595,"3,388.21",0,14,112.595,"3,388.21",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2000 - 2001,0,0.000,0.00,0,0,0,0,5,113.880,454.74,0,5,113.880,454.74,0.00,0,0.000,0.00,0,0,0,0,0,0.000,465.10,0,0.000,465.10,0,0.000,0.00,0,0,0,0,5,113.880,465.10,0,5,113.880,465.10,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2001 - 2002,0,0.000,0.00,0,0,0,0,3,19.720,145.03,0,3,19.720,145.03,0.00,0,0.000,0.00,0,0,0,0,0,0.000,158.72,0,0.000,158.72,0,0.000,0.00,0,0,0,0,3,19.720,158.72,0,3,19.720,158.72,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2003 - 2004,0,0.000,0.00,0,0,0,0,2,48.310,361.13,0,2,48.310,361.13,0.00,0,0.000,0.00,0,0,0,0,0,0.000,386.48,0,0.000,386.48,0,0.000,0.00,0,0,0,0,2,48.310,386.48,0,2,48.310,386.48,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2004 - 2005,0,0.000,0.00,0,0,0,0,1,10.000,202.05,0,1,10.000,202.05,0.00,0,0.000,0.00,0,0,0,0,0,0.000,225.89,0,0.000,225.89,0,0.000,0.00,0,0,0,0,1,10.000,225.89,0,1,10.000,225.89,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2005 - 2006,0,0.000,0.00,0,0,0,0,2,39.700,775.68,0,2,39.700,775.68,0.00,0,0.000,0.00,0,0,0,0,0,0.000,924.35,0,0.000,924.35,0,0.000,0.00,0,0,0,0,2,39.700,924.35,0,2,39.700,924.35,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2006 - 2007,0,0.000,0.00,0,0,0,0,4,38.250,"1,125.60",0,4,38.250,"1,125.60",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,335.95",0,0.000,"1,335.95",0,0.000,0.00,0,0,0,0,4,38.250,"1,335.95",0,4,38.250,"1,335.95",Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2007 - 2008,0,0.000,0.00,0,0,0,0,5,50.120,"1,803.75",0,5,50.120,"1,803.75",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,792.10",0,0.000,"1,792.10",0,0.000,0.00,0,0,0,0,5,49.865,"1,792.10",0,5,49.865,"1,792.10",Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2008 - 2009,0,0.000,0.00,0,0,0,0,2,24.000,"1,300.67",0,2,24.000,"1,300.67",0.00,0,0.000,0.00,0,0,0,0,0,0.000,941.70,0,0.000,941.70,0,0.000,0.00,0,0,0,0,2,24.000,941.70,0,2,24.000,941.70,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2009 - 2010,0,0.000,0.00,0,0,0,0,5,30.210,"1,098.53",0,5,30.210,"1,098.53",0.00,0,0.000,0.00,0,0,0,0,0,0.000,785.22,0,0.000,785.22,0,0.000,0.00,0,0,0,0,5,29.890,785.22,0,5,29.890,785.22,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Hisar,2013 - 2014,0,0.000,0.00,0,0,0,0,2,21.720,"2,064.15",0,2,21.720,"2,064.15",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,0,0.000,0.00,0,0,0,0,46,544.905,"16,376.91",0,46,544.905,"16,376.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"7,015.51",0,0.000,"7,015.51",0,0.000,0.00,0,0,0,0,29,373.615,"7,015.51",0,29,373.615,"7,015.51",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,0,0.000,"1,38,758.55",0,0.000,"1,38,843.32",1,2.000,84.77,0,1,0,0,425,"4,563.224","1,38,796.22",0,426,"4,565.224","1,38,880.99","Page 1 of 1     Generated on : 12/03/2025 23:04 PM     2014 NRRDA, All rights reserved"
