Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ariyalur,2018 - 2019,0,0.000,0.00,0,0,0,0,10,34.341,"1,350.12",0,10,34.341,"1,350.12",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,30,58.205,883.68,9,17,0,0,192,492.262,"15,751.57",3,222,550.467,"16,635.25",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,14,29.810,,6,7,0,0,8,17.710,0.00,0,22,47.520,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ariyalur,2020 - 2021,0,0.000,0.00,0,0,0,0,10,39.921,"1,557.70",0,10,39.921,"1,557.70",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,30,58.205,883.68,9,17,0,0,192,492.262,"15,751.57",3,222,550.467,"16,635.25",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,14,29.810,,6,7,0,0,8,17.710,0.00,0,22,47.520,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ariyalur,2023 - 2024,0,0.000,0.00,0,0,0,0,2,7.600,465.56,0,2,7.600,465.56,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,30,58.205,883.68,9,17,0,0,192,492.262,"15,751.57",3,222,550.467,"16,635.25",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,14,29.810,,6,7,0,0,8,17.710,0.00,0,22,47.520,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2000 - 2001,10,18.160,191.86,4,9,0,0,11,14.330,132.38,0,21,32.490,324.24,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,10,17.900,,4,9,0,0,11,14.690,0.00,0,21,32.590,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2001 - 2002,0,0.000,0.00,0,0,0,0,11,19.240,209.67,0,11,19.240,209.67,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,11,19.240,0.00,0,11,19.240,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2003 - 2004,2,1.780,17.43,0,0,0,0,0,0.000,0.00,0,2,1.780,17.43,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,2,1.780,,0,0,0,0,0,0.000,0.00,0,2,1.780,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2004 - 2005,0,0.000,0.00,0,0,0,0,8,12.020,121.89,0,8,12.020,121.89,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2005 - 2006,0,0.000,0.00,0,0,0,0,1,4.600,56.04,0,1,4.600,56.04,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2006 - 2007,0,0.000,0.00,0,0,0,0,38,88.308,"1,473.78",0,38,88.308,"1,473.78",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2007 - 2008,0,0.000,0.00,0,0,0,0,14,19.690,496.61,0,14,19.690,496.61,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2012 - 2013,0,0.000,0.00,0,0,0,0,20,46.308,"1,314.01",0,20,46.308,"1,314.01",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2014 - 2015,0,0.000,0.00,0,0,0,0,66,145.146,"3,825.31",0,66,145.146,"3,825.31",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Chengalpattu,2016 - 2017,0,0.000,0.00,0,0,0,0,2,4.700,149.67,0,2,4.700,149.67,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,19.940,209.29,4,9,0,0,228,551.574,"19,978.57",6,240,571.514,"20,187.86",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,12,19.680,,4,9,0,0,22,33.930,0.00,0,34,53.610,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
